"filename", "language", "HTML", "JavaScript", "Less", "CSS", "XML", "SCSS", "comment", "blank", "total"
"d:\毕设\AIForge-frontend\src\App.vue", "HTML", 42, 0, 0, 0, 0, 0, 0, 6, 48
"d:\毕设\AIForge-frontend\src\assets\base.css", "CSS", 0, 0, 0, 71, 0, 0, 2, 14, 87
"d:\毕设\AIForge-frontend\src\assets\css\Log.scss", "SCSS", 0, 0, 0, 0, 0, 193, 0, 32, 225
"d:\毕设\AIForge-frontend\src\assets\css\ModelCard.scss", "SCSS", 0, 0, 0, 0, 0, 69, 0, 14, 83
"d:\毕设\AIForge-frontend\src\assets\css\ModelDetail.scss", "SCSS", 0, 0, 0, 0, 0, 106, 0, 19, 125
"d:\毕设\AIForge-frontend\src\assets\css\ModelSquare.scss", "SCSS", 0, 0, 0, 0, 0, 33, 2, 5, 40
"d:\毕设\AIForge-frontend\src\assets\css\Pay.scss", "SCSS", 0, 0, 0, 0, 0, 85, 0, 15, 100
"d:\毕设\AIForge-frontend\src\assets\css\Search.scss", "SCSS", 0, 0, 0, 0, 0, 312, 2, 49, 363
"d:\毕设\AIForge-frontend\src\assets\css\components\Bar.scss", "SCSS", 0, 0, 0, 0, 0, 23, 4, 1, 28
"d:\毕设\AIForge-frontend\src\assets\css\home.scss", "SCSS", 0, 0, 0, 0, 0, 125, 1, 24, 150
"d:\毕设\AIForge-frontend\src\assets\css\models.scss", "SCSS", 0, 0, 0, 0, 0, 141, 2, 32, 175
"d:\毕设\AIForge-frontend\src\assets\css\p.scss", "SCSS", 0, 0, 0, 0, 0, 85, 0, 15, 100
"d:\毕设\AIForge-frontend\src\assets\css\project\RunProject.scss", "SCSS", 0, 0, 0, 0, 0, 168, 28, 29, 225
"d:\毕设\AIForge-frontend\src\assets\css\project\createProject.scss", "SCSS", 0, 0, 0, 0, 0, 223, 8, 43, 274
"d:\毕设\AIForge-frontend\src\assets\css\project\project.scss", "SCSS", 0, 0, 0, 0, 0, 64, 0, 11, 75
"d:\毕设\AIForge-frontend\src\assets\css\project\projectDisplay.scss", "SCSS", 0, 0, 0, 0, 0, 87, 7, 19, 113
"d:\毕设\AIForge-frontend\src\assets\icon\BackIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 4, 19
"d:\毕设\AIForge-frontend\src\assets\icon\BigDeleteIcon.vue", "HTML", 26, 0, 0, 0, 0, 0, 0, 3, 29
"d:\毕设\AIForge-frontend\src\assets\icon\CreateIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\毕设\AIForge-frontend\src\assets\icon\DatasetIcon.vue", "HTML", 23, 0, 0, 0, 0, 0, 0, 7, 30
"d:\毕设\AIForge-frontend\src\assets\icon\DeleteIcon.vue", "HTML", 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\毕设\AIForge-frontend\src\assets\icon\EditIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\毕设\AIForge-frontend\src\assets\icon\HeartIcon.vue", "HTML", 25, 0, 0, 0, 0, 0, 0, 2, 27
"d:\毕设\AIForge-frontend\src\assets\icon\PreviousStepIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\毕设\AIForge-frontend\src\assets\icon\RunIcon.vue", "HTML", 33, 0, 0, 0, 0, 0, 0, 3, 36
"d:\毕设\AIForge-frontend\src\assets\icon\TestIcon.vue", "HTML", 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\毕设\AIForge-frontend\src\assets\icon\TickIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\毕设\AIForge-frontend\src\assets\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\毕设\AIForge-frontend\src\assets\main.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 7, 34
"d:\毕设\AIForge-frontend\src\components\Checkbox.vue", "HTML", 233, 0, 0, 0, 0, 0, 0, 2, 235
"d:\毕设\AIForge-frontend\src\components\CreateDialog.vue", "HTML", 422, 0, 0, 0, 0, 0, 0, 56, 478
"d:\毕设\AIForge-frontend\src\components\FolderTree.vue", "HTML", 61, 0, 0, 0, 0, 0, 3, 8, 72
"d:\毕设\AIForge-frontend\src\components\FolderTree_备份.vue", "HTML", 456, 0, 0, 0, 0, 0, 3, 30, 489
"d:\毕设\AIForge-frontend\src\components\Sidebar.vue", "HTML", 95, 0, 0, 0, 0, 0, 0, 14, 109
"d:\毕设\AIForge-frontend\src\components\TalkTool.vue", "HTML", 105, 0, 0, 0, 0, 0, 0, 17, 122
"d:\毕设\AIForge-frontend\src\components\Toast.vue", "HTML", 86, 0, 0, 0, 0, 0, 0, 13, 99
"d:\毕设\AIForge-frontend\src\components\Upperbar.vue", "HTML", 275, 0, 0, 0, 0, 0, 0, 27, 302
"d:\毕设\AIForge-frontend\src\components\UpperbarNoSearch.vue", "HTML", 225, 0, 0, 0, 0, 0, 0, 20, 245
"d:\毕设\AIForge-frontend\src\components\home\Log.vue", "HTML", 435, 0, 0, 0, 0, 0, 4, 42, 481
"d:\毕设\AIForge-frontend\src\components\model\ModelCard.vue", "HTML", 190, 0, 0, 0, 0, 0, 0, 30, 220
"d:\毕设\AIForge-frontend\src\components\project\ProjectDisplay.vue", "HTML", 223, 0, 0, 0, 0, 0, 5, 31, 259
"d:\毕设\AIForge-frontend\src\components\temp.vue", "HTML", 77, 0, 0, 0, 0, 0, 0, 11, 88
"d:\毕设\AIForge-frontend\src\main.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 5, 16
"d:\毕设\AIForge-frontend\src\router\index.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 3, 123
"d:\毕设\AIForge-frontend\src\service\ModelDetail.js", "JavaScript", 0, 55, 0, 0, 0, 0, 17, 1, 73
"d:\毕设\AIForge-frontend\src\service\ModelSquare.js", "JavaScript", 0, 46, 0, 0, 0, 0, 5, 0, 51
"d:\毕设\AIForge-frontend\src\service\ToastService.js", "JavaScript", 0, 21, 0, 0, 0, 0, 14, 5, 40
"d:\毕设\AIForge-frontend\src\service\dataset.js", "JavaScript", 0, 30, 0, 0, 0, 0, 4, 8, 42
"d:\毕设\AIForge-frontend\src\service\hypara.js", "JavaScript", 0, 19, 0, 0, 0, 0, 1, 5, 25
"d:\毕设\AIForge-frontend\src\service\model.js", "JavaScript", 0, 117, 0, 0, 0, 0, 18, 29, 164
"d:\毕设\AIForge-frontend\src\service\pic.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 2, 13
"d:\毕设\AIForge-frontend\src\service\project.js", "JavaScript", 0, 53, 0, 0, 0, 0, 6, 15, 74
"d:\毕设\AIForge-frontend\src\service\tag.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 2, 7
"d:\毕设\AIForge-frontend\src\service\user.js", "JavaScript", 0, 23, 0, 0, 0, 0, 5, 7, 35
"d:\毕设\AIForge-frontend\src\styles\variables.less", "Less", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\毕设\AIForge-frontend\src\utils\axios.js", "JavaScript", 0, 11, 0, 0, 0, 0, 26, 9, 46
"d:\毕设\AIForge-frontend\src\utils\local.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 2, 11
"d:\毕设\AIForge-frontend\src\utils\utils.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\毕设\AIForge-frontend\src\views\Home.vue", "HTML", 239, 0, 0, 0, 0, 0, 4, 36, 279
"d:\毕设\AIForge-frontend\src\views\Home2.vue", "HTML", 123, 0, 0, 0, 0, 0, 6, 11, 140
"d:\毕设\AIForge-frontend\src\views\Model\ModelDetail.vue", "HTML", 400, 0, 0, 0, 0, 0, 21, 24, 445
"d:\毕设\AIForge-frontend\src\views\Model\ModelDetailOld.vue", "HTML", 219, 0, 0, 0, 0, 0, 0, 41, 260
"d:\毕设\AIForge-frontend\src\views\Model\ModelSquare.vue", "HTML", 366, 0, 0, 0, 0, 0, 4, 22, 392
"d:\毕设\AIForge-frontend\src\views\Model\ModelSquareOld.vue", "HTML", 547, 0, 0, 0, 0, 0, 5, 8, 560
"d:\毕设\AIForge-frontend\src\views\Model\Models.vue", "HTML", 693, 0, 0, 0, 0, 0, 11, 73, 777
"d:\毕设\AIForge-frontend\src\views\data\Data.vue", "HTML", 415, 0, 0, 0, 0, 0, 5, 57, 477
"d:\毕设\AIForge-frontend\src\views\data\DataSet.vue", "HTML", 562, 0, 0, 0, 0, 0, 5, 60, 627
"d:\毕设\AIForge-frontend\src\views\data\test.vue", "HTML", 39, 0, 0, 0, 0, 0, 0, 6, 45
"d:\毕设\AIForge-frontend\src\views\manage\Manage.vue", "HTML", 416, 0, 0, 0, 0, 0, 0, 29, 445
"d:\毕设\AIForge-frontend\src\views\manage\PublicModelManage.vue", "HTML", 82, 0, 0, 0, 0, 0, 0, 6, 88
"d:\毕设\AIForge-frontend\src\views\manage\ReviewModelManage.vue", "HTML", 81, 0, 0, 0, 0, 0, 0, 6, 87
"d:\毕设\AIForge-frontend\src\views\manage\UploadModelManage.vue", "HTML", 188, 0, 0, 0, 0, 0, 0, 12, 200
"d:\毕设\AIForge-frontend\src\views\manage\UserManage.vue", "HTML", 55, 0, 0, 0, 0, 0, 0, 6, 61
"d:\毕设\AIForge-frontend\src\views\other\Pay.vue", "HTML", 85, 0, 0, 0, 0, 0, 0, 8, 93
"d:\毕设\AIForge-frontend\src\views\other\Search.vue", "HTML", 350, 0, 0, 0, 0, 0, 6, 26, 382
"d:\毕设\AIForge-frontend\src\views\project\MyCollect.vue", "HTML", 9, 0, 0, 0, 0, 0, 0, 5, 14
"d:\毕设\AIForge-frontend\src\views\project\MyProject.vue", "HTML", 41, 0, 0, 0, 0, 0, 0, 3, 44
"d:\毕设\AIForge-frontend\src\views\project\Project.vue", "HTML", 134, 0, 0, 0, 0, 0, 1, 9, 144
"d:\毕设\AIForge-frontend\src\views\project\ProjectConfig.vue", "HTML", 1062, 0, 0, 0, 0, 0, 0, 64, 1126
"d:\毕设\AIForge-frontend\src\views\project\RunProject.vue", "HTML", 564, 0, 0, 0, 0, 0, 9, 47, 620
"d:\毕设\AIForge-frontend\src\views\project\tem.vue", "HTML", 24, 0, 0, 0, 0, 0, 0, 1, 25
"Total", "-", 9837, 543, 1, 98, 1, 1714, 250, 1334, 13778